ISO,2010,2011,2012,2013
GTM,6.05,5.88,5.88,5.81
GIN,2.79,2.79,2.79,2.84
GNB,1.99,1.99,1.43,1.26
GUY,6.05,6.05,6.05,6.05
HTI,4,4,3.96,3.94
HND,5.76,5.84,5.84,5.84
HUN,7.21,7.04,6.96,6.96
ISL,9.65,9.65,9.65,9.65
IND,7.28,7.3,7.52,7.69
IDN,6.53,6.53,6.76,6.82
IRN,1.94,1.98,1.98,1.98
IRQ,4,4.03,4.1,4.1
IRL,8.79,8.56,8.56,8.68
ISR,7.48,7.53,7.53,7.53
ITA,7.83,7.74,7.74,7.85
JAM,7.21,7.13,7.39,7.39
JPN,8.08,8.08,8.08,8.08
JOR,3.74,3.89,3.76,3.76
KAZ,3.3,3.24,2.95,3.06
KEN,4.71,4.71,4.71,5.13
KWT,3.88,3.74,3.78,3.78
KGZ,4.31,4.34,4.69,4.69
LAO,2.1,2.1,2.32,2.21
LVA,7.05,7.05,7.05,7.05
LBN,5.82,5.32,5.05,5.05
LSO,6.02,6.33,6.66,6.66
LBR,5.07,5.07,4.95,4.95
LBY,1.94,3.55,5.15,4.82
LTU,7.24,7.24,7.24,7.54
LUX,8.88,8.88,8.88,8.88
MKD,6.16,6.16,6.16,6.16
MDG,3.94,3.93,3.93,4.32
MWI,5.84,5.84,6.08,6
MYS,6.19,6.19,6.41,6.49
MLI,6.01,6.36,5.12,5.9
MLT,8.28,8.28,8.28,8.28
MRT,3.86,4.17,4.17,4.17
MUS,8.04,8.04,8.17,8.17
MEX,6.93,6.93,6.9,6.91
MNG,6.36,6.23,6.35,6.51
MNE,6.27,6.15,6.05,5.94
MAR,3.79,3.83,4.07,4.07
MOZ,4.9,4.9,4.88,4.77
MMR,1.77,1.77,2.35,2.76
NAM,6.23,6.24,6.24,6.24
NPL,4.24,4.24,4.16,4.77
NLD,8.99,8.99,8.99,8.84
NZL,9.26,9.26,9.26,9.26
NIC,5.73,5.56,5.56,5.46
NER,3.38,4.16,4.16,4.08
NGA,3.47,3.83,3.77,3.77
NOR,9.8,9.8,9.93,9.93
OMN,2.86,3.26,3.26,3.26
PAK,4.55,4.55,4.57,4.64
PAN,7.15,7.08,7.08,7.08
PNG,6.54,6.32,6.32,6.36
PRY,6.4,6.4,6.26,6.26
PER,6.4,6.59,6.47,6.54
PHL,6.12,6.12,6.3,6.41
POL,7.05,7.12,7.12,7.12
PRT,8.02,7.81,7.92,7.65
QAT,3.09,3.18,3.18,3.18
KOR,8.11,8.06,8.13,8.06
MDA,6.33,6.32,6.32,6.32
ROU,6.6,6.54,6.54,6.54
RUS,4.26,3.92,3.74,3.59
RWA,3.25,3.25,3.36,3.38
SAU,1.84,1.77,1.71,1.82
SEN,5.27,5.51,6.09,6.15
SRB,6.33,6.33,6.33,6.67
SLE,4.51,4.51,4.71,4.64
SGP,5.89,5.89,5.88,5.92
SVK,7.35,7.35,7.35,7.35
SVN,7.69,7.76,7.88,7.88
ZAF,7.79,7.79,7.79,7.9
ESP,8.16,8.02,8.02,8.02
LKA,6.64,6.58,5.75,5.69
SDN,2.42,2.38,2.38,2.54
SUR,6.65,6.65,6.65,6.77
SWZ,2.9,3.26,3.2,3.2
SWE,9.5,9.5,9.73,9.73
CHE,9.09,9.09,9.09,9.09
SYR,2.31,1.99,1.63,1.86
TJK,2.51,2.51,2.51,2.51
TZA,5.64,5.64,5.88,5.77
THA,6.55,6.55,6.55,6.25
TLS,7.22,7.22,7.16,7.24
TGO,3.45,3.45,3.45,3.45
TTO,7.16,7.16,6.99,6.99
TUN,2.79,5.53,5.67,5.76
TUR,5.73,5.73,5.76,5.63
TKM,1.72,1.72,1.72,1.72
UGA,5.05,5.13,5.16,5.22
UKR,6.3,5.94,5.91,5.84
ARE,2.52,2.58,2.58,2.52
GBR,8.16,8.16,8.21,8.31
USA,8.18,8.11,8.11,8.11
URY,8.1,8.17,8.17,8.17
UZB,1.74,1.74,1.72,1.72
VEN,5.18,5.08,5.15,5.07
VNM,2.94,2.96,2.89,3.29
YEM,2.64,2.57,3.12,2.79
ZMB,5.68,6.19,6.26,6.26
ZWE,2.64,2.68,2.67,2.67
# Series: DEMINDEX,,,,
# Name: Democracy Index,,,,
"# Definition: The Economist Intelligence Unit’s index of democracy, on a 0 to 10 scale, is based on the ratings for 60 indicators grouped in five categories: electoral process and pluralism; civil liberties; the functioning of government; political participation; and political culture. Each category has a rating on a 0 to 10 scale, and the overall index of democracy is the simple average of the five category indexes.",,,,
# Source: Economist Intelligence Unit,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,
