ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
MLT,16,7,8,7,3,5,28,9,9,9,6,6,6,
MHL,,,,,,,,,,,,,2,
MRT,29752,29862,30135,30525,31112,31651,33428,33108,45601,39143,37733,39929,33765,34225
MUS,35,35,43,61,19,27,80,71,24,23,28,42,62,72
MEX,1291,1594,1670,1652,1744,2313,3304,5572,6162,6435,6816,7472,8435,9376
MCO,1,,1,1,,,,,,1,2,4,4,
MNG,23,60,280,324,442,654,867,1101,1333,1495,1724,1985,2114,2050
MNE,,,,,,,135,557,1283,2582,3246,3698,4054,589
MAR,392,363,1268,1291,1318,2920,4710,4039,3533,2286,2284,2312,2407,1291
MOZ,30,46,129,111,104,104,231,222,208,136,131,155,160,46
MMR,137128,145856,148497,151384,161013,164864,202826,191256,184413,406669,415670,414626,415371,479591
NAM,2308,2297,1302,1293,1314,1226,1202,1128,985,921,1017,1073,1098,1133
NRU,3,,,3,,,3,3,3,,,,,
NPL,235,306,902,1231,1416,2065,2647,3363,4189,5108,5889,6854,7612,8086
NLD,152,4,256,271,48,159,39,43,46,44,53,64,71,59
NZL,,,2,1,3,4,8,13,10,10,15,18,20,10
NIC,5071,4399,4048,3983,1821,1463,1828,1900,1537,1478,1431,1468,1531,1525
NER,493,483,834,728,689,655,818,827,796,822,803,819,832,710
NGA,5742,6084,24568,24428,23890,22128,13253,13902,14169,15609,15640,17141,18021,31614
NIU,,,,,,,,,,,,7,10,14
NOR,4,3,5,6,5,15,4,3,4,4,7,7,9,5
OMN,5,5,19,11,16,12,38,43,56,64,63,60,65,20
PAK,10133,12324,23167,24389,25952,29913,25639,31858,32403,35132,39982,35952,49785,48829
PLW,,,,,,,,1,1,,,,,
PAN,67,37,44,30,40,42,75,109,111,105,100,100,107,99
PNG,8,8,16,18,18,23,31,36,46,70,89,128,174,219
PRY,19,8,31,32,37,44,105,102,101,77,86,91,101,86
PER,6944,6502,6397,5581,4769,4865,6986,7743,7339,6271,5834,5491,5212,4747
PHL,45482,45467,45609,412,434,465,886,1549,1354,993,970,952,986,708
POL,865,3191,16712,15211,10680,19641,13513,2915,2391,2059,1764,1815,1640,1413
PRT,23,17,62,55,47,74,25,32,36,31,30,28,32,27
QAT,1,,8,13,10,11,52,62,71,68,112,95,124,15
KOR,73,83,245,237,272,268,1334,1188,1104,573,585,514,558,490
MDA,2657,3737,10130,11146,11938,12064,11680,4918,5555,5925,6200,6264,6148,2185
ROU,7348,6052,8846,8387,6045,11502,7234,5306,4756,4358,3934,3428,2807,2310
RUS,40310,45156,91611,96420,108100,103037,159382,93224,103061,109455,111954,109785,110588,74326
RWA,119056,84513,75251,75263,63301,100264,92966,80955,72530,129109,114836,106833,97373,83894
KNA,,,2,1,1,31,2,2,4,4,7,9,12,12
LCA,11,9,10,16,34,99,163,227,288,314,334,433,566,706
VCT,48,67,81,105,181,279,387,646,750,849,946,1127,1316,1535
WSM,1,1,,,,,3,2,4,,1,1,1,
SMR,4,,3,1,1,1,2,2,1,1,2,1,1,
STP,25,23,39,42,39,24,32,33,35,33,33,33,32,31
SAU,77,35,212,236,214,151,617,753,712,633,667,745,818,555
SEN,11088,8559,12069,8351,8332,8671,15163,15896,16006,16305,16267,17722,18724,19862
SYC,23,13,44,38,44,40,61,55,53,49,49,42,29,24
SLE,402807,179113,141472,70580,41796,40477,42862,32127,32536,15417,11277,8002,6202,5279
SGP,22,16,39,35,36,39,111,116,109,80,76,67,68,61
SVK,220,191,595,667,619,791,741,342,331,334,158,269,239,316
SVN,3284,765,858,610,582,155,1760,52,52,39,38,32,34,27
SLB,34,42,54,60,61,27,38,48,52,66,75,72,61,60
SOM,475655,440134,432254,402336,389296,395553,464252,455356,561155,678309,770150,1077050,1136720,1121690
ZAF,168,123,275,288,269,268,510,474,453,384,380,429,420,389
SSD,,,,,,,,,,,,1,87009,114451
ESP,80,48,58,53,49,49,2444,41,27,34,42,43,52,46
LKA,124160,122420,132999,122010,114053,108139,116966,134948,137752,145721,141075,136617,132731,123050
SDN,494363,489950,508871,606242,730638,693632,686311,523032,419248,368195,387204,500014,568943,649285
SUR,334,237,103,70,51,29,66,63,50,45,25,20,15,17
SWZ,16,15,19,5,14,13,22,25,32,32,36,43,65,98
SWE,18,5,28,32,29,75,16,16,15,19,25,24,20,8
CHE,70,61,56,35,12,16,36,31,32,18,19,20,17,11
SYR,5871,4869,18898,20819,21434,16401,12338,13671,15211,17914,18452,19931,729022,2468340
TJK,59940,56108,63264,58936,56775,54753,645,541,544,562,577,612,674,637
TZA,313,378,577,711,985,1549,1668,1255,1270,1204,1144,1163,1122,1008
THA,217,94,345,296,319,424,3325,2313,1815,502,356,368,381,218
TLS,122202,73042,28097,127,221,251,251,6,7,7,8,8,9,8
TGO,4016,4354,10447,10614,10818,51107,27332,22501,16750,18378,18330,17871,15693,10298
TON,3,1,8,12,5,4,6,5,7,5,6,10,13,16
TTO,24,16,35,38,41,63,153,211,231,240,255,297,333,336
TUN,1207,1368,2542,2563,2516,3129,2844,2505,2349,2260,2174,1952,1935,1342
TUR,47155,47090,193733,185098,174578,170561,227232,221939,214378,146387,146794,139779,135372,66575
TKM,300,310,798,840,812,820,692,678,736,743,738,726,723,495
TUV,3,3,3,3,3,,3,2,2,,,1,1,
UGA,32414,40141,40409,35247,31960,34225,21751,21341,7548,7554,6441,5680,5608,8122
UKR,19312,26716,85263,94148,89587,84228,63723,25985,28424,24522,25111,25379,25256,5158
ARE,16,18,31,20,71,30,265,308,256,414,424,486,584,79
GBR,113,109,164,149,144,135,174,200,185,156,153,150,153,135
USA,176,219,383,395,451,683,1356,2174,2137,2368,3026,3778,4456,4740
URY,51,46,61,57,81,111,164,197,199,188,186,184,171,139
UZB,3628,3458,6881,7391,4050,8323,9101,5663,6308,6669,8836,12664,11593,4932
VUT,,,,,,,,,,,1,1,1,
VEN,471,466,526,598,1256,2590,3828,5094,5807,6221,6701,7577,8208,8376
VNM,370758,353224,373724,363179,349803,358268,374279,327776,328183,339289,338698,337829,336939,314069
YEM,2113,1985,1604,1597,1606,1325,1362,1631,1777,1934,2076,2323,2594,2383
ZMB,98,62,92,100,124,151,204,196,195,206,228,240,243,220
ZWE,109,257,4030,7162,9566,11251,12781,14374,16841,22449,24089,25048,22101,19641
EAZ,849534,792501,785125,708188,711483,728224,806617,726122,742448,977471,988040,989746,990928,1031800
ECZ,1328710,1257920,1505910,1342320,1227630,1005150,993119,625243,628078,543296,525058,508923,494071,291154
GLS,10529700,10330100,9345670,8426060,8430400,7811960,9000720,8866420,9622360,9766580,9956740,9849860,9954910,11290600
HIS,386878,346525,404136,362217,350381,256766,284904,210654,215677,200756,192522,188611,190317,138440
LCS,83389,85154,94996,91109,96010,117676,163821,142944,446950,462808,470690,484054,491259,496058
LIS,6581370,6474490,5212170,4621780,4790780,4481760,4378630,4067550,4966180,5364840,5650800,5612470,5800840,5935300
LMS,1506780,1427900,1587130,1594830,1689540,1669710,1670820,1403060,1330410,1285640,1309020,1512040,2225640,3958570
MES,651008,656737,634022,564548,494658,427288,1609080,2407920,2032410,1922280,1815600,1563170,1596350,2975190
NAS,202,223,434,455,507,805,1451,2704,2238,2467,3116,3887,4579,4834
SAZ,3847610,4072780,2800020,2406920,2680220,2436400,2386470,2218900,3142120,3192120,3344560,2928160,2842310,2788860
SSS,3769260,3464780,3525170,3312510,3219900,3096410,3040160,2742590,2628120,2666140,2809670,3371920,3535420,3702690
UMS,2054690,2081190,2142240,1847230,1599700,1403720,2666360,3185160,3110100,2915350,2804400,2536740,1738110,1258290
# Series: RPBORCOW,,,,,,,,,,,,,,
"# Name: Refugee population by origin, total",,,,,,,,,,,,,,
"# Definition: Refugees are people who are recognized as refugees under the 1951 Convention Relating to the Status of Refugees or its 1967 Protocol, the 1969 Organization of African Unity Convention Governing the Specific Aspects of Refugee Problems in Africa, people recognized as refugees in accordance with the UNHCR statute, people granted refugee-like humanitarian status, and people provided temporary protection. Asylum seekers--people who have applied for asylum or refugee status and who have not yet received a decision or who are registered as asylum seekers--are excluded. Since 2007 the refugee population category also includes people in a refugee-like situation, most of who were previously included in the Others of concern group. The UNHCR mandate covers all refugees, except some 4.9 million Palestinian refugees residing in areas of operation of the United Nations Relief and Works Agency for Palestinian Refugees in the Near East (UNRWA)",,,,,,,,,,,,,,
"# Source: UNHCR Statistical Online Population Database, United Nations High Commissioner for Refugees (UNHCR)",,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,
