ISO,1997,2002,2007
NER,14.962,15.062,15.264
NGA,13.196,12.971,13.363
NOR,21.599,22.456,23.419
OMN,18.119,18.835,19.604
PAK,17.345,17.355,17.345
PAN,21.871,22.603,23.337
PNG,13.846,14.22,14.698
PRY,19.459,20.23,20.632
PER,19.436,20.146,20.766
PHL,16.473,16.591,16.708
POL,18.722,19.818,20.477
PRT,20.766,21.6,22.446
QAT,20.12,20.413,20.668
KOR,19.805,21.249,23.101
MDA,15.956,15.998,16.039
ROU,17.533,18.261,18.977
RUS,16.627,16.26,17.275
RWA,14.64,15.741,17.262
LCA,19.096,19.468,20.566
VCT,18.917,18.978,19.453
WSM,16.782,17.462,18.109
STP,17.534,17.703,18.046
SAU,17.763,18.119,18.487
SEN,15.639,15.651,16.061
SRB,17.704,17.862,18.296
SYC,18.565,19.009,19.141
SLE,10.474,11.39,12.347
SGP,20.798,22.011,23.741
SVK,18.223,18.878,19.436
SVN,19.957,20.935,22.225
SLB,15.855,16.349,16.681
SOM,15.345,15.634,15.924
ZAF,15.398,15.31,15.215
SSD,15.041,15.446,15.87
ESP,22.392,23.094,24.206
LKA,17.348,19.961,19.134
SDN,16.594,16.932,17.304
SUR,17.549,17.572,18.179
SWZ,15.831,15.922,16.155
SWE,22.208,22.856,23.596
CHE,22.737,23.605,24.508
SYR,18.487,19.038,19.572
TJK,17.212,17.125,17.656
TZA,16.018,16.668,17.413
THA,20.158,20.46,20.851
TLS,15.268,15.952,16.434
TGO,14.301,14.193,14.298
TON,17.544,17.884,18.221
TTO,17.214,17.472,17.697
TUN,18.727,19.168,19.418
TUR,18.854,19.326,19.998
TKM,16.947,16.719,16.87
UGA,15.709,16.395,17.013
UKR,16.776,16.902,17.243
ARE,18.162,18.68,19.188
GBR,20.707,21.774,22.928
USA,21.34,21.846,22.774
URY,20.14,20.716,21.358
UZB,18.112,18.061,18.154
VUT,16.635,17.039,17.476
VEN,19.843,20.206,20.703
VNM,21.127,21.571,21.947
YEM,15.773,15.905,16.017
ZMB,14.792,15.53,16.415
ZWE,17.868,17.9,18.4
AAE,17.8741,18.5212,19.1489
ACE,19.2922,19.8522,20.4792
HIA,20.1466,20.9007,21.6603
AME,19.5056,20.0579,20.5993
LIA,15.4049,15.699,16.1729
LMA,16.777,17.152,17.5397
ANE,18.1507,18.5757,18.9888
ASA,21.733,22.4355,23.2855
ASE,16.4775,17.3566,17.7625
AEE,15.3732,15.5728,16.0176
UMA,18.3569,18.7779,19.2603
EAM,16.782,17.067,17.476
ECM,18.722,19.302,19.998
HIM,20.368,21.249,22.446
LCM,19.822,20.426,20.906
LIM,15.221,15.552,15.87
LMM,16.635,16.902,17.146
MEM,17.899,18.447,19.071
NAN,21.34,21.846,22.774
SAM,16.153,17.355,17.345
SSM,15.255,15.53,15.744
UMM,17.899,18.459,19.141
EAE,18.3187,19.3485,19.7547
ECE,19.2979,19.8484,20.6881
HWW,20.8035,21.5225,22.4555
LCE,20.0702,20.6537,21.2206
LIW,16.0073,16.3549,16.7647
LMW,16.234,16.5829,16.9497
MEE,17.6231,17.948,18.198
NAE,21.4176,21.9616,22.8747
SAE,16.0863,16.5401,16.9395
SSE,14.9683,15.177,15.6283
UMW,18.3638,19.3333,19.7507
WLD,18.481,19.155,19.733
# Series: LE60TOIN,,,
"# Name: Life expectancy at 60 years, total",,,
# Definition: The average number of remaining years of life expected by a hypothetical cohort of males or females alive at age 60 who would be subject during the remaining of their lives to the age- and sex-specific mortality rates of a given period. It is expressed as years.,,,
# Source: United Nations Population Division (UNPD),,,
# Data from the No Ceilings project: http://noceilings.org,,,
"# For more about the data, please visit http://noceilings.org/data",,,
