ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
LIC,,,,,,32.8,,,,,,,,,46.5,,
LMC,,,,,,47.5,,,,,,,,,56.5,,
UMC,,,,,,92.6,,,,,,,,,95.8,,
EAS,,,,,,85.1,,,,,,,,,91.1,,
LCN,,,,,,85.8,,,,,,,,,,,
MEA,,,,,,78.5,,,,,,,,,,,
SAS,,,,,,36.2,,,,,,,,,48,,
SSF,,,,,,42.1,,,,,,,,,46.4,,
# Series: BIRTSTAF,,,,,,,,,,,,,,,,,
"# Name: Births attended by skilled staff, female",,,,,,,,,,,,,,,,,
"# Definition: The percentage of deliveries attended by personnel trained to give the necessary supervision, care, and advice to women during pregnancy, labor, and the postpartum period; to conduct deliveries on their own; and to care for newborns.",,,,,,,,,,,,,,,,,
# Source: World Bank,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,
