ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
CHE,0.2,0.245,0.275,0.3225,0.3525,0.38,0.425,0.3775,0.215,0.2025,0.225,0.26,0.3025
SYR,0.35,0.3575,0.3225,0.29,0.305,0.315,0.3275,0.345,0.39,0.4225,0.41,0.395,0.4025
TJK,0.12,0.175,0.1925,0.1825,0.1525,0.1675,0.1725,0.24,0.275,0.2875,0.285,0.28,0.2875
TZA,0.01,,,,,,,0.0025,0.0025,0.0025,0.005,0.005,0.0075
THA,0.3075,0.25,0.275,0.2825,0.3025,0.3225,0.3425,0.355,0.335,0.3325,0.315,0.3275,0.33
TLS,,0.0025,,,,,,,,,,,
TGO,0.04,0.0225,0.0425,0.0425,0.0475,0.05,0.055,0.0475,0.04,0.04,0.0425,0.04,0.03
TTO,0.005,,,,,,,,,,,0.0025,0.0025
TUN,0.045,0.0375,0.1,0.0825,0.085,0.0425,0.0175,0.0125,0.0075,0.0125,0.0225,0.03,0.02
TUR,0.1925,0.175,0.1875,0.2125,0.2175,0.2225,0.235,0.235,0.2125,0.205,0.1975,0.2425,0.2275
TKM,0.035,0.0325,0.0275,0.015,0.005,0.005,0.01,0.0125,0.015,0.0125,0.0125,0.02,0.0375
UGA,0.0875,0.0325,0.025,0.035,0.05,0.05,0.0375,0.0475,0.0275,0.0225,0.0125,0.0225,0.025
UKR,0.32,0.3275,0.3825,0.3975,0.37,0.36,0.4075,0.3875,0.2775,0.2525,0.2475,0.265,0.22
ARE,0.01,0.0175,0.0975,0.1425,0.1625,0.1575,0.1775,0.1975,0.2225,0.2475,0.2475,0.215,0.215
GBR,0.225,0.2175,0.2325,0.24,0.2325,0.1975,0.1325,0.125,0.1025,0.0825,0.07,0.0625,0.0525
USA,0.185,0.1725,0.185,0.1925,0.18,0.17,0.1475,0.1375,0.1175,0.0925,0.065,0.0575,0.04
UZB,0.155,0.1475,0.165,0.13,0.115,0.13,0.13,0.2125,0.205,0.21,0.205,0.23,0.2525
VEN,0.0625,0.02,0.0125,0.02,0.0125,0.03,0.015,0.0125,0.0075,0.005,0.0125,0.0175,0.02
VNM,0.3125,0.2925,0.2625,0.2725,0.28,0.3075,0.34,0.3675,0.37,0.385,0.3875,0.3875,0.375
YEM,0.13,0.0925,0.0775,0.105,0.1075,0.1225,0.125,0.1525,0.16,0.15,0.14,0.1375,0.1375
ZMB,0.01,0.005,0.0025,,0.0025,0.0025,0.005,0.005,0.0125,0.015,0.015,0.0125,0.0225
AAE,0.222857,0.217143,0.223571,0.2325,0.246607,0.288462,0.303077,0.305385,0.27125,0.273214,0.282692,0.298462,0.29
ACE,0.2537,0.243,0.266862,0.275781,0.267917,0.274362,0.273776,0.275459,0.221979,0.204096,0.196915,0.232287,0.217979
GEA,0.17,0.174336,0.185935,0.192621,0.18992,0.195675,0.199516,0.200712,0.18306,0.180244,0.172004,0.179318,0.179676
HIA,0.20858,0.201389,0.222857,0.238869,0.235536,0.238902,0.239709,0.238372,0.209207,0.190793,0.186341,0.2,0.196607
AME,0.0527381,0.0325,0.04075,0.04175,0.036,0.0373077,0.0360417,0.040625,0.0334091,0.0290909,0.0247917,0.0202941,0.0238235
LIA,0.107,0.12225,0.116591,0.115543,0.125,0.13587,0.128,0.1331,0.15,0.162375,0.144545,0.145109,0.159545
LMA,0.158871,0.159483,0.173796,0.181852,0.167931,0.182328,0.188966,0.195,0.178966,0.185948,0.181724,0.187167,0.1725
ANE,0.145,0.144474,0.148026,0.141,0.145875,0.151625,0.171711,0.182763,0.195658,0.20175,0.205526,0.206053,0.222105
