ISO,1990,2000,2010
THA,57.18,63.4,69.36
TLS,23.08,24,37.26
TGO,25.94,29.86,32.42
TON,58.38,61.35,65.2
TTO,60.39,63.61,67.24
TUN,43.91,58.2,64.19
TUR,42.53,52.22,60.87
TKM,39.88,51.5,59.61
UGA,22.77,25.2,32.35
UKR,73.31,73.47,74.71
ARE,46.09,48.52,43.28
GBR,77.34,79.29,80.45
USA,75.16,76.81,77.75
URY,71,74.8,77.41
UZB,49.63,53.59,57.74
VUT,48.92,49.65,51.06
VEN,50.95,57.77,62.93
VNM,51.06,61.58,67.34
YEM,25.05,32.24,38.47
ZMB,25.31,29.36,31.53
ZWE,36.57,35.63,41.14
AAE,50.2726,55.17,60.9526
ACE,69.5857,72.5192,75.1212
GEA,49.2816,53.5546,58.0455
HIA,68.8977,71.516,73.8144
AME,53.0441,58.8734,64.3266
LIA,27.502,30.6471,36.1349
LMA,39.743,45.2743,51.0326
ANE,44.388,52.654,56.837
ASA,75.215,77.185,78.51
ASE,32.6725,40.7825,49.525
AEE,28.7885,30.7855,35.3904
UMA,52.7629,58.3367,63.2279
EAM,48.92,52.61,60.04
ECM,73.8,74.9,77.18
GEM,47.42,53.33,59.8
HIM,73.96,76.27,78.17
LCM,51.79,57.85,63.83
LIM,25.94,28.65,33.72
LMM,37.72,42.56,51.06
MEM,42.34,50.71,57.82
NAN,75.16,76.81,77.75
SAM,28.91,37.88,49.14
SSM,26.71,29.36,32.85
UMM,54.18,58.2,63.83
EAE,,62.8151,67.8317
ECE,,72.7467,75.0346
GLE,,55.429,59.619
HWW,,76.209,77.9523
LCE,,59.3624,65.6921
LIW,,32.638,39.0666
LMW,,43.9826,50.0836
MEE,,50.9269,56.5176
NAE,,76.8836,77.901
SAE,,41.4664,49.2928
SSE,,27.7913,32.0717
UMW,,61.7861,66.8362
# Series: AVDTFEIN,,,
"# Name: Mean age of death, female",,,
# Definition: Average age of death overall for a population,,,
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),,,
# Data from the No Ceilings project: http://noceilings.org,,,
"# For more about the data, please visit http://noceilings.org/data",,,
