ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
USA,,,,,,,,,,,1160810,1141940,1221420,1259870,,
URY,,,,,,,,,,9307,9933,9516,,,,
UZB,,,,,,,,,37890,37332,40563,40064,43642,46373,,
VEN,,,,,,,,,,,222533,,,,,
VNM,,126994,116950,,132491,140565,,,,286360,247647,263540,307891,372271,,
ZMB,4593,,,,,,,,,,,,,,,
ZWE,,,,,,,,,,,,,9179,9781,9696,
ECZ,,,,,,,,,2050200,2100200,,,,3070650,,
HIS,,,,,,,,,,,4059140,4062260,4336630,4833050,,
LCS,,,,,,,904967,1067190,,1204030,1631690,1435980,1464770,,,
NAS,,,,,,,,,,,1160810,1141940,1221420,1259870,,
# Series: TEDENGMA,,,,,,,,,,,,,,,,
"# Name: Enrollment in tertiary education, engineering, manufacturing and construction, male",,,,,,,,,,,,,,,,
"# Definition: Number of males enrolled in tertiary education, per program",,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,
