ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ERI,2.9,9.3,7.9,1.8,0,-3.1,8.8,3,-2.7,1.5,2.6,-1,1.4,-9.8,3.9,2.2,8.7,7,7
EST,,5.9,11.7,6.8,-0.3,9.7,6.3,6.6,7.8,6.3,8.9,10.1,7.5,-4.2,-14.1,2.6,9.6,3.9,0.8
ETH,6.1,12.4,3.1,-3.5,5.2,6.1,8.3,1.5,-2.2,13.6,11.8,10.8,11.5,10.8,8.8,9.9,7.3,8.5,7.1
FJI,2.5,4.9,-2.3,1.4,8.8,-1.7,2,3.3,0.8,5.4,0.6,2,-1,1.2,-1.3,0.2,1.8,2.3,3.6
FIN,4,3.6,6.2,5,3.9,5.3,2.3,1.8,2,4.1,2.9,4.4,5.3,0.3,-8.5,3.4,2.8,-1,-1.4
FRA,2.2,1.1,2.2,3.4,3.2,3.9,1.8,0.9,0.9,2.3,1.9,2.7,2.2,-0.2,-3.1,1.6,2,0,0.3
GAB,5,3.6,5.7,3.5,-8.9,-1.9,2.1,-0.3,2.5,1.3,3,1.2,5.6,1,-2.9,6.7,7.1,5.6,5.9
GMB,0.8,2.3,4.8,3.5,6.4,5.5,5.8,-3.2,6.9,7,-0.9,1.1,3.6,5.8,6.4,6.5,-4.3,6,6.2
GEO,2.6,11.2,10.5,3.1,2.9,1.8,4.8,5.5,11.1,5.8,9.3,9.5,12.3,2.3,-3.8,6.3,7.2,6.1,3.1
DEU,1.8,0.8,1.8,1.7,1.7,3.3,1.6,0,-0.4,0.7,0.9,3.9,3.4,0.8,-5.1,3.9,3.4,0.9,0.5
GHA,-2.6,5.2,4.8,5.3,5.1,4.4,4.8,5.2,5.9,6.2,6.5,7.1,6.5,8.4,4,8,15,8.8,7.1
GRC,2.1,2.4,3.6,3.4,3.4,4.5,4.2,3.4,5.9,4.4,2.3,5.5,3.5,-0.2,-3.1,-4.9,-7.1,-7,-3.9
GRD,2.5,4.1,4.6,6.5,10.1,2.5,-2.1,3.6,9.6,-1,13.5,-3.9,5.9,1,-6.6,0,1,0.6,1.2
GTM,5.8,5.3,3.5,1.6,5,1.8,0.5,3.9,2.5,3.2,3.3,5.4,6.3,3.3,0.5,2.9,4.2,3,3.5
GIN,4.6,4.5,5.2,3.6,3.8,2.5,3.7,5.2,1.2,2.3,3,2.5,1.8,4.9,-0.3,1.9,3.9,3.9,2.6
GNB,4.4,11.6,6.5,-28.1,1,3.6,7.2,2,-4.9,-0.7,4.9,-2,6,10.5,1.1,1.7,4.8,-6.7,0.3
GUY,5,7.9,6.2,-1.7,3,-1.4,2.2,1.1,-1,3.3,-2,5.1,-3.6,2,3.3,4.4,5.4,4.8,4.9
HTI,,,,,2.8,0.8,-1.1,-0.2,0.4,-3.5,1.8,2.3,3.4,0.8,2.9,-5.4,5.6,2.8,4.3
HND,6.2,1.9,4.6,3.6,-0.7,7.3,2.7,3.8,4.5,6.2,6.1,6.6,6.2,4.2,-2.4,3.7,3.8,3.9,2.6
HUN,1.5,0.2,3.1,4.1,3.2,4.2,3.7,4.5,3.8,4.8,4,3.9,0.1,0.9,-6.8,1.1,1.6,-1.7,1.1
ISL,0.1,5.1,4.3,6.3,4.1,4.3,3.9,0.1,2.4,7.8,7.2,4.7,6,1.2,-6.6,-4.1,2.7,1.5,3.3
IND,7.6,7.9,4.1,6.3,7.4,4.1,5.1,3.8,8.2,7.9,9.2,9.3,9.8,4,8.3,10.2,6.7,4.7,4.8
IDN,8.2,7.8,4.7,-13.1,0.8,5.4,3.6,4.5,4.8,5,5.7,5.5,6.4,6,4.6,6.2,6.5,6.3,5.8
IRN,2.7,7.1,3.4,2.7,1.9,5.1,3.7,8.2,8.1,6.1,4.7,6.2,6.4,0.6,4,5.9,2.7,-5.6,-3
IRQ,-5,8,40,77.6,21,-1.5,2.3,-6.9,-33.1,54.2,4.4,10.2,1.4,6.6,5.8,5.9,8.6,8.4,5.2
IRL,10,8.1,10.8,8.9,11,10.7,5,5.4,3.7,4.2,6.1,5.5,5,-2.2,-6.4,-1.1,2.2,0.2,-0.3
ISR,6.3,5.5,3.6,4.1,3.4,9.3,-0.3,-0.6,1.5,4.8,4.9,4.1,6.9,5,0.9,5.5,4.6,3.4,3.3
ITA,3,1,1.9,1.3,1.4,3.9,1.8,0.4,0,1.6,1.1,2.3,1.5,-1.2,-5.5,1.7,0.6,-2.4,-1.8
JAM,2.6,-0.1,-1.7,-1.2,1.1,0.8,1.1,0.8,3.6,1.3,0.9,2.9,1.4,-0.9,-3.4,-1.4,1.4,-0.5,0.1
JPN,1.9,2.7,1.6,-2.1,-0.1,2.2,0.4,0.3,1.7,2.3,1.3,1.7,2.2,-1.1,-5.5,4.7,-0.4,1.4,1.5
JOR,6.2,2.1,3.3,3,3.4,4.2,5.3,5.8,4.2,8.5,8.2,8.1,8.2,7.2,5.5,2.3,2.6,2.7,2.8
KAZ,-8.2,0.5,1.8,-1.9,2.7,9.8,13.5,9.9,9.3,9.6,9.7,10.7,8.9,3.3,1.2,7.3,7.5,4.9,5.9
KEN,5.7,11,0.3,3.4,2.1,0.5,4.5,0.6,2.9,5.1,5.9,6.3,7,1.5,2.7,5.8,4.4,4.6,4.8
KWT,-14,0.4,2.5,3.7,-1.8,4.7,0.2,3,17.3,10.2,10.6,7.5,6,2.5,-7.1,-2.4,10.2,8.3,3
KGZ,-5.4,7.1,9.9,2.2,3.7,5.4,5.3,0,7,7,-0.2,3.1,8.5,8.4,2.9,-0.5,6,-0.9,10.5
