ISO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
LTU,,,,,,,,,,,7.2,4.2,7.8
LUX,,,,,,,,,,,,,5.6
MKD,,,,,,,,8.6,,4,,4.5,3.8
MWI,,,,,,,,,,,,32.1,27.3
MYS,,,,,,11.1,,,3.7,4.8,4,6.2,5.5
MEX,12.6,10.3,,,4.5,4.5,,11.9,,10.2,8.5,12.1,13
MNE,,,,,,,,,,10.5,,,
MAR,,,,,,,,,11.8,,,,
NAM,,,,,,,,,,,,17.5,
NLD,3.9,3.5,2.4,3.1,2.1,3.6,3.7,3.3,5.9,4.4,6,6.7,6.8
NZL,13.4,10.6,10,12.1,13.7,,,,,,,,
NGA,,,,,,,,,,,,35.6,40.7
NOR,4.6,4.6,3.9,3.5,4.5,5.7,3.8,5.2,4.5,3.8,4.2,3.6,3.6
PAK,,,,,,,,,,3.4,1.7,1.2,
PAN,,,,,,,,,8.2,,19.6,10.4,17.4
PER,,,,39.1,,39.3,26.1,23.6,18.4,25.7,19,17.6,19.6
PHL,,,,,,22.5,,,,,,,18
POL,6.4,3.2,,5,,,,,,,5,6.2,6.2
PRT,3.8,,,3.8,,,5.9,,,3,4.7,6.2,5.8
KOR,8.5,8.6,,,,,,5,3.5,2.1,3.8,2.3,3.9
ROU,,,,,,,3.1,2.1,3.2,3.2,7.3,5.3,7.9
RUS,,1.5,,,,2.6,1.6,2.5,3.2,3.5,4.1,3.4,5.4
SAU,,,,,,,,,0.7,5.9,,,
SRB,,,,,,,5.1,5.2,2.8,,,,
SGP,3.4,2.7,3.5,3.3,5,3.7,,,,,7.2,10,8.2
SVK,,,,,,,,,,,8.1,6.7,7.3
SVN,,2.9,1.7,1.6,2.9,2.3,2.7,4,2.6,2.9,2.7,2.6,4
ZAF,4.5,5.5,3.9,4.8,4.5,4.5,,5.9,4.7,8.1,7,5.7,9
ESP,5.2,2.6,4,2.9,4.2,5.7,5.5,6,3.9,3.2,4.5,4,4.2
SUR,,,,,,,,,,,,,3.5
SWE,4.2,2.5,2.1,2.2,3,2.4,2.5,,,3.5,4.5,4.8,6.2
CHE,,4.8,4.3,,4.9,,4.9,,6.6,4.5,6.6,5.5,8
SYR,,,,,,,,,3.1,,,,
THA,,18.5,,,19.3,14.2,26,,,,20.9,20.6,17.3
TTO,,,,,,,,,,14.3,18,13.2,15.6
TUN,,,,,,,,,5.1,4.1,,2.9,
TUR,,,,,,3.5,2.4,2.4,,3.7,7.2,6.9,
UGA,,,22.3,25.5,,,,,30,30.5,,35.5,25.1
ARE,,,,,,0.3,6,,6.3,,4.3,,
GBR,3.6,3.2,3.8,3.9,3.7,3.6,3.6,3.7,3.7,4.4,5.2,6.3,5.5
USA,9,8.3,8.1,10.7,9.6,7.4,7.2,8.8,5.8,7,10.4,10.5,10.4
URY,,,,,,8.5,7.2,8.6,7.5,8.7,12.8,10,9
VUT,,,,,,,,,,45.4,,,
VEN,,,25.1,,23.8,,16.8,,17.8,,14.4,,
VNM,,,,,,,,,,,,,14
YEM,,,,,,,,,18.8,,,,
ZMB,,,,,,,,,,29.9,,40,40.7
AAE,,8.11429,7.2,,9.7,12.1875,14.8667,,6.3,12.3333,9.98571,8.7,11.8778
ACE,,3.53158,,,,3.71429,3.956,4.37826,4.13333,4.14615,5.11923,5.07931,5.60714
GEA,,,,,,7.46429,,,,,,,11.1585
HIA,5.63636,4.37037,4.45417,4.44,4.73462,4.28148,4.45769,4.81739,4.54,4.93103,6.36562,6.31818,6.56061
AME,,10.6,,,11.7333,13.8625,14.725,15.9091,14.9583,16.4154,15.2692,15.1846,15.3923
LMA,,,,,,16.7,,,,,,,22.9125
ANE,,,,,,,,,7.69091,,,,
ASA,8.5,7.35,6.75,8.4,7.55,6.7,7.2,8.8,5.8,7,10.4,10.5,10.15
ASE,4.9,12.3,,,,8.9,7.5,7.1,,,,,6.4
UMA,,10.2286,13.08,,11.1,12.3167,12.4846,,10.5429,10.96,11.6944,12.3261,12.4136
EAM,,8.6,9.6,,7.4,11.1,13.4,,3.5,4.8,7.2,6.2,12.2
ECM,,3.4,,,,3.6,3.7,4,3.7,3.9,4.5,4.8,5.5
GEM,,,,,,4.7,,,,,,,7.8
HIM,4.3,3.5,3.5,3.3,3.8,3.9,3.8,4,3.9,3.9,4.7,4.9,5.8
LCM,,10.3,,,8.2,8.5,12.7,15.5,15.6,14.4,16.3,14.3,15.6
LMM,,,,,,18.7,,,,,,,18
MEM,,,,,,,,,6.3,,,,
NAN,8,6.4,5.4,6.1,5.5,6,7.2,8.8,5.8,7,10.4,10.5,9.9
SAM,4.9,12.3,,,,8.9,7.5,7.1,,,,,6.4
UMM,,10.3,11.7,,10.8,9.6,12.7,,10.2,9.2,8.5,10.7,12.2
EAE,,7.30753,7.41431,,7.96659,13.0849,9.37656,,10.3294,7.8756,14.7513,7.61251,12.4875
ECE,,1.78724,,,,2.27555,2.105,2.42256,2.14514,2.65161,3.5883,3.72187,3.43393
GLE,,,,,,7.20274,,,,,,,8.78199
HWW,4.84025,4.12473,3.64011,4.30836,4.11777,3.9499,3.67801,4.32727,3.393,4.05439,5.56213,5.37729,5.89668
LCE,,6.82207,,,6.4736,8.26794,9.26748,11.3646,11.0777,13.1832,12.0092,12.1296,13.4302
LMW,,,,,,7.16306,,,,,,,10.2534
MEE,,,,,,,,,5.48215,,,,
NAE,8.90196,8.11372,7.83503,10.2482,9.19685,7.26229,6.49125,7.93176,5.2259,6.30446,9.36371,9.45009,10.3499
SAE,3.65914,9.18099,,,,6.64073,5.59742,5.30036,,,,,4.77962
UMW,,8.2311,8.26747,,8.87155,11.3442,10.8135,,12.6212,10.7831,16.7411,10.7383,11.3791
# Series: ESEAFGEM,,,,,,,,,,,,,
"# Name: Early stage entrepreneurial activity, Female",,,,,,,,,,,,,
# Definition: Percentage of female 18-64 population who are either a nascent entrepreneur or owner-manager of a new business,,,,,,,,,,,,,
# Source: Global Entrepreneurship Monitor (GEM),,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,
