ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
NER,502,526,340,341,385,349,337,338,344,357,332,425,50618,92877
NGA,7324,7332,7499,10292,9433,19840,9444,9160,11342,10272,10562,10335,4196,2493
NOR,,,,,,,,,,,,2773,9399,2770
OMN,3,23,25,24,31,11,14,48,54,38,91,126,158,215
PAK,1201470,1510010,1227430,1124300,968774,1088120,1047140,2038150,1939700,4744090,2854750,2157260,2399740,2459950
PLW,,,,,,,,,,12,,2,3,
PAN,1313,1474,1661,1944,4771,12428,15591,17425,17515,17714,17555,18059,17796,18291
PNG,5863,5254,5253,7797,7820,9999,10185,10012,10013,9706,9699,9378,9538,9382
PRY,23,33,25,32,47,58,61,76,79,93,115,133,143,126
PER,687,683,688,901,998,1184,1399,1535,1662,1484,1410,1638,1600,1669
PHL,175,136,161,1837,1980,904,556,302,280,218,139893,251,343630,335279
POL,7569,4506,23090,7156,3046,3462,3462,7141,6640,4968,1652,1549,1303,1915
PRT,,,,,,114,,,,,,408,197,
QAT,35,79,69,96,70,74,81,90,50,37,67,129,137,1338
KOR,69,75,82,164,291,588,710,1273,1461,589,782,1602,2214,3089
MDA,8346,272,1260,242,241,232,1945,1893,1988,2207,2260,2268,2258,2362
ROU,1912,2363,,2322,29051,1039,385,166,323,212,385,246,1913,685
RUS,674318,531242,423399,644718,2167,424329,1716,165335,145901,114286,132525,93745,191101,189957
RWA,30118,34786,32439,39623,53469,59117,59097,63764,64022,74891,65574,63181,70556,80805
KNA,,,,,,,,,,,,,1,
LCA,,,,,,,,3,1,4,6,5,3,
VCT,,,,,,,,,,1,,1,,
SAU,5340,245502,245323,240928,240722,310913,311050,311035,310764,70679,669,679,676,70636
SEN,22715,23347,22638,22991,23216,23341,23225,22959,35887,24947,22849,22907,16570,16716
SLE,6546,103074,63552,100096,124579,60340,27613,9365,8391,9487,8573,8156,4271,2787
SGP,,4,4,3,4,4,11,34,10,7,7,3,3,
SVK,,,,,934,621,335,285,192,1763,1486,823,764,
SVN,8355,7171,2087,2744,1211,881,4723,414,342,356,433,103,276,228
SLB,,,,,,,,,,,,,3,
SOM,182,649,30057,10595,357,493,403596,1011690,1281660,1557120,1489840,1365090,1153980,1284340
ZAF,18669,23739,19896,110643,142907,152941,166193,125769,,357768,,,,65881
SSD,,,,,,,,,,,,456490,550192,561053
ESP,,,,,,,,,,,2712,,,4344
LKA,706569,683333,683327,386140,352485,327626,559242,620527,527995,531569,440318,285732,139945,85482
SDN,414928,349209,328176,160613,835426,1028720,1614240,1634450,1295560,1240840,1954440,2848170,2145770,2083420
SUR,,,,,,,,1,1,1,8,3,3,
SWZ,1008,1051,1021,1013,1016,1016,1008,1041,1220,1366,,,927,1036
SWE,,,,,,,,,6239,7758,,10344,26673,42800
CHE,,72321,93368,89383,66311,48030,48523,51958,63295,63342,61728,67331,72456,72605
SYR,3467,3351,4306,9965,17239,30024,49647,1509660,1107940,1057550,1007920,757275,478728,33741
TJK,15593,15571,3711,3746,,1080,1184,1526,2094,6818,6597,7650,6687,5669
TZA,510992,691413,691538,479933,602088,549131,485675,435938,322163,119575,272789,294204,263843,264744
THA,104965,110711,112614,119053,122188,149351,151829,139127,125510,115552,106925,102610,99059,141420
TLS,53539,18194,18194,15,448,13,166964,72595,15877,11,5,2,1,
TGO,11945,12335,12418,12737,11804,9711,12049,4857,14480,8861,14221,19685,24024,21042
TON,,,,,,,,,,,3,3,3,
TTO,,,,,,,,125,132,233,131,42,25,51
TUN,175,97,102,99,110,113,161,155,145,128,112,4657,1776,1025
TUR,3103,7648,3301,5943,6962,8692,9173,12451,18515,16337,16747,25429,281114,662137
TKM,14188,14496,13696,13519,13260,11965,751,141,8579,12060,20062,11059,8993,8353
UGA,218985,200363,217848,211489,252629,257267,1863990,2049730,1627460,992984,585253,288511,225967,294767
UKR,2962,3166,17668,89746,85322,77504,74290,4549,3371,8294,5364,2585,33714,41670
ARE,18,917,440,223,157,183,206,223,274,355,624,722,722,680
GBR,,,,,,,,,,,,,18916,23070
USA,,,,,,,,,,,,267842,,
URY,82,90,100,100,107,130,153,177,184,209,229,225,220,243
UZB,38350,3923,42909,45792,41999,44537,,1060,821,555,311,214,176,133
VUT,,,,,,,,1,4,4,4,2,2,
VEN,132,59,1077,2349,4613,6753,8474,10509,213097,215685,217406,219391,204560,205398
VNM,,15945,15945,15360,2360,2533,9620,9620,9872,9678,12128,11190,11500,11000
YEM,60544,69468,84898,62947,67654,82735,96654,195080,241000,422220,508355,573937,735853,649144
ZMB,250940,284173,246765,226697,173991,155864,120468,112959,83542,56863,48182,46653,50396,53019
ZWE,4127,9472,9972,13277,6884,2209,3519,4524,3995,4630,4959,5859,4378,67101
EAZ,586398,575379,534560,542122,551989,810182,1121100,1169050,1108010,1415100,1652780,1833830,2265640,2296390
ECZ,,2132210,3322430,2669650,2817170,2245800,,2127980,2846150,2759070,3073250,2832550,2969880,3252690
GLS,8593570,12272100,14048300,12500000,14000900,13654200,25389100,26796300,27871600,28614500,28137400,29927200,29194500,32565300
HIS,,,,,,,,,,,1592170,1957660,1459700,1647560
LCS,34838,38918,50800,1289970,1611960,2047620,3326260,3135350,3327960,3663470,4042260,4313320,4348170,5994390
LIS,2332620,3603710,4662310,3535580,3886270,3734660,10554400,8781070,9410650,8266900,9916420,10676700,11158800,11695400
LMS,3771820,3953470,3867900,3282030,3655180,3777120,5325180,7641420,6801050,9683090,7919750,8300110,7441500,6912560
MES,483965,2683720,2110080,1701690,2036000,1836510,4706940,6740400,7003530,5171310,4792830,4721580,4442970,5136790
NAS,,,,,,,,,,,,350529,,
SAZ,2072780,3559630,4036160,2570860,2589020,2498880,5882330,4332710,4025940,5863770,5817160,5180610,4411630,4008890
SSS,3198440,3282220,3994280,3725730,4394760,4194690,8617230,9253430,9505820,9680610,8708140,10694700,10713300,11842500
UMS,1540680,3432840,3433060,4330240,4965780,4918520,8801860,8953650,9611040,9007780,8709110,8992660,9134520,12309800
# Series: PRSCNCOW,,,,,,,,,,,,,,
"# Name: Persons of concern, (includes refugees, asylum seekers, returned refugees, IDPs, returned IDPs, stateless persons)",,,,,,,,,,,,,,
"# Definition: Persons of Concern is a term used to describe all people whose protection and assistance needs are of interest to UNHCR, including: refugees, asylum seekers, returned refugees, internally displaced people (IDP), returned IDPs, and stateless persons.",,,,,,,,,,,,,,
# Source: United Nations High Commissioner for Refugees (UNHCR),,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,
