ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
TUR,655145,,,805681,830593,990779,902246,1070710,1110430,1194590,1235720,1512270,1900330,2089800,,
UGA,,10551,16902,20461,,,35612,,,,,,,,,
UKR,,585244,,755833,851435,962024,1031590,1095740,1157560,1197650,1213150,1179580,1045930,983503,,
GBR,,,,498875,528511,575150,608425,614349,630423,636340,618416,649814,683235,691880,,
USA,,,,,,,,,,,5312950,5287820,5655740,5819230,,
URY,,,,,,,,,,63861,63925,65415,,,,
UZB,,,,,,,,,59001,58690,59211,55413,47876,43452,,
VEN,,,,,,,,,,,616005,650309,,,,
VNM,,313961,309635,,302696,316019,,,,540903,550714,610251,700547,770984,748667,
ZMB,7257,,,,,,,,,,,,,,,
ZWE,,,,,,,,,,,,,32932,36935,38378,
ECZ,,,,6287450,6883650,7281450,,,8266220,8846660,8227150,8647250,9153300,10172600,,
HIS,,,,,,,,,,,12641500,12792900,13539800,14683200,,
LCS,,,,,,3738660,3390120,4450620,,5272190,6567980,6500020,6152840,,,
NAS,,,,,,,,,,,5312950,5287820,5655740,5819230,,
# Series: TEDSBLTO,,,,,,,,,,,,,,,,
"# Name: Enrollment in tertiary education, social sciences, business and law, total",,,,,,,,,,,,,,,,
"# Definition: Number of total males and females enrolled in tertiary education, per program",,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,
