ISO,1990,2000,2010
MWI,17.25,25.76,29.53
MYS,53.44,56.58,59.4
MDV,29.34,45.6,58.59
MLI,14.61,13.74,16.18
MLT,69.49,71.69,73.67
MHL,39.87,41.79,47.2
MRT,23.33,24.13,29.31
MUS,55.74,59.84,62.86
MEX,44.14,52.68,58.71
FSM,45.26,52.99,55.89
MNG,36.55,46.04,49.76
MNE,65.76,66.27,69.24
MAR,37.87,47.14,53.28
MOZ,17.4,23.84,30.54
MMR,40.63,46.26,50.77
NAM,36.62,39.42,43.9
NPL,25.72,33.31,42.22
NLD,70.83,71.84,74.11
NZL,67.03,70.09,72.49
NIC,29.87,43.49,54.18
NER,10.58,12.78,16.62
NGA,16.1,18.33,21.78
NOR,71.8,73.71,75.18
OMN,35.94,49.12,53.66
PAK,30.26,37.47,41.1
PAN,53.93,52.69,60.26
PNG,34.24,38.07,43.2
PRY,41.4,49.22,56.18
PER,34.47,46.98,55.73
PHL,37.18,43.74,48.48
POL,63.51,65.5,67.93
PRT,67.52,70.2,73.49
QAT,43.31,49.38,46.63
KOR,56.51,61.78,67.39
MDA,57.66,61.06,62.74
ROU,62.88,65.31,68.15
RUS,58.16,58.49,60.8
RWA,24.68,23.9,32.14
LCA,52.83,61.65,61.87
VCT,50.05,56.35,58
WSM,50.83,52.72,57.16
STP,28.8,32.9,40.44
SAU,44.55,52.6,54.22
SEN,21.65,21.97,29.7
SRB,63.88,68.07,70.95
SYC,50.84,52.67,53.32
SLE,18.22,17.94,25.91
SGP,61.89,65.5,68.31
SVK,64.87,66.28,67.97
SVN,65.36,67.31,70.55
SLB,46.78,47.33,49.73
SOM,20.97,24.07,28.43
ZAF,39.67,39.15,40.87
ESP,68.83,72.11,75
LKA,53.57,58.26,64.31
SDN,24.31,26.21,32.97
SUR,48.54,46.09,51.62
SWZ,30.71,34.56,38.35
SWE,73.16,75.46,76.75
CHE,70.47,73.01,75.52
SYR,43.95,52,56.3
TJK,30.19,35.14,42.18
TZA,20.18,23.61,28.54
THA,49.91,54.31,61.06
TLS,19.65,20.23,32.67
TGO,22.05,26.57,29.39
TON,54.09,55.99,58.36
TTO,56.22,58.63,60.4
TUN,46.07,57.82,61.37
TUR,42.69,50.62,57
TKM,32.51,44.62,52.32
UGA,19.26,22.54,29.66
UKR,62.31,62.1,63.88
ARE,43.02,44.88,43.19
GBR,70.96,72.74,74.55
USA,66.98,69.1,70.62
URY,65.39,67.82,70.57
UZB,40.94,45.12,50.07
VUT,51.44,51.45,50.98
VEN,45.98,50.31,53.85
VNM,45.41,55.06,58.52
YEM,18.14,25.96,31.95
ZMB,21.92,25.96,27.87
ZWE,32.33,33.82,38.31
AAE,46.6363,50.5348,55.7567
ACE,62.018,64.9363,67.7567
GEA,44.6298,48.6493,52.8368
HIA,62.715,65.2827,67.549
AME,47.765,52.8903,57.4653
LIA,23.3449,26.6837,32.1869
LMA,36.1411,41.3648,46.4889
ANE,42.6215,49.9775,53.1455
ASA,67.735,70.11,71.94
ASE,31.9075,39.8275,48.0662
AEE,25.2515,27.7217,32.3209
UMA,48.3804,53.2444,57.6388
EAM,46.78,51.45,55.89
ECM,65.31,67.31,70.36
GEM,44.55,49.81,54.54
HIM,67.03,69.1,70.62
LCM,46.44,52.36,58
LIM,22.05,25.35,30.54
LMM,36.55,43.49,48.48
MEM,43.02,49.38,54.13
NAN,66.98,69.1,70.62
SAM,29.34,38.36,47.96
SSM,23.33,25.76,30.35
UMM,49.23,52.8,58.71
EAE,,57.159,62.0988
ECE,,64.3206,67.0942
GLE,,50.9157,54.9434
HWW,,68.0882,70.4158
LCE,,52.3465,58.1146
LIW,,29.591,35.8386
LMW,,42.1134,47.4357
MEE,,48.3578,52.5149
NAE,,69.2982,70.8823
SAE,,42.0126,48.6353
SSE,,24.0773,28.6532
UMW,,56.2951,61.0925
# Series: AVDTMAIN,,,
"# Name: Mean age of death, male",,,
# Definition: Average age of death overall for a population,,,
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),,,
# Data from the No Ceilings project: http://noceilings.org,,,
"# For more about the data, please visit http://noceilings.org/data",,,
