ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
TUN,,,,,,55913,,,65193,,,,77956,,,
TUR,87385,,,95109,95314,95922,123244,100149,160887,151669,167978,191961,276462,342833,,
UGA,,2547,2780,2822,,,4661,,,,,,,,,
UKR,,150324,,124685,130211,114167,135152,137476,139358,144306,167763,181707,216591,204263,,
GBR,,,,362514,430681,357501,377390,382209,396816,403453,391549,388781,400066,401467,,
USA,,,,,,,,,,,2875330,2876890,3078080,3166450,,
URY,,,,,,,,,,7509,7605,7718,,,,
UZB,,,,,,,,,33638,33527,35144,35859,32612,32309,,
VEN,,,,,,,,,,,28028,18045,,,,
VNM,,39919,32003,,30201,28933,,,,57600,67314,70817,77919,89661,128127,
ZMB,291,,,,,,,,,,,,,,,
ZWE,,,,,,,,,,,,,8007,11066,11050,
ECZ,,,,2047610,2261360,2172110,,,2470460,2619400,2255630,2294620,2521090,3038160,,
HIS,,,,,,,,,,,6275960,6275030,6601100,7159780,,
LCS,,,,,,506899,297645,630798,,702175,776874,790921,770351,,,
NAS,,,,,,,,,,,2875330,2876890,3078080,3166450,,
# Series: TEDHUMTO,,,,,,,,,,,,,,,,
"# Name: Enrollment in tertiary education, humanities and arts, total",,,,,,,,,,,,,,,,
"# Definition: Number of total males and females enrolled in tertiary education, per program",,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,
