ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
MNG,,57.6,59.9,63.9,53.1,57.3,56.7,58.6,51.6,52,51.4,49,48.2,42.9,
MAR,,,,34.2,,,,,,24.8,17.8,44.3,,,
MOZ,,,,,,,25.9,16.6,,,26.8,24.3,,25.6,
MMR,,,,,,,,,,,,,,67.2,
NAM,,,,43.6,,46.4,,40.9,41.7,,60,,,,
NLD,,26.4,27.5,27.4,27.8,29.3,24.1,25.2,20.2,20.2,20,21.1,22.6,25.2,
NZL,44.7,46.1,43.3,41.6,39.1,37.5,38.5,37.9,39.2,40.1,41.8,38.5,39.8,40.4,
NER,,,,7.7,,,,,,,,,,,
NOR,,29.8,30.8,29.7,32.2,28.6,26.2,28.8,,32.9,34.8,36.5,36.1,33.7,
OMN,,,,,,,,,,62.6,,65,66.5,,
PAN,,,,,60.7,41,56.3,54.6,52.5,52.6,51.8,51.3,48.8,62.5,
PHL,,,,,,60.8,60,,,,,,,,
POL,,,,,,,,43.6,45.8,45.4,47,44,45.4,44.8,46.1
PRT,,,45.7,,57.1,58.2,50.8,47.9,46.8,43.5,41.7,40.9,54.2,55.1,
QAT,,,94.9,69.5,65.1,71.1,,,,70.5,74.6,67.8,62.8,55.7,47.2
KOR,41.8,47.4,47.3,45.3,42.2,47,42.9,42.6,39.6,37.2,35.7,38.1,,38.6,39
ROU,,61.6,65.4,64.6,64.5,,58.8,60.8,58.8,61.9,59.8,50.2,55.8,57.6,
RWA,,,,,,,,,,,,,,,40.3
WSM,58.6,58.2,34.6,,,,,,,,,,,,
SAU,57.9,51.5,43.2,,42.4,41.8,44.8,46.2,63.3,68.7,68.4,68.4,72.6,72.3,54.6
SRB,,,,,,,,,,65.1,48.9,49.5,44.6,45.5,42.2
SYC,,,,,,,,,,,,,,60,
SLE,,,73,,,,,,,,,,,,
SVK,,30.3,30.2,34,38.1,41.2,41.1,41.4,40.7,40.5,43.3,41.9,42.8,42.5,43.1
SVN,,43.4,,35.7,37.1,39.3,40,43.6,38.9,36.4,38.6,36,40.3,36.3,39.9
ESP,,44,42.5,40.8,39.7,37.7,37.2,36,36,35.9,35.8,35.4,35,36.2,
LKA,,,,,,,,,,,,,49.8,46.8,47.5
SWZ,,52.2,54.3,49,43.2,,43.6,51.9,29.5,,,,,,
SWE,,42.4,47.5,46.5,48,46.4,45.9,44.1,43,43,42.1,43.4,42.6,40,
CHE,,21.2,22.2,20.6,20.8,19.3,21.8,26,25.1,27.3,27.7,28.3,30.1,,
TTO,,62.9,60.2,65.9,62,,57.9,,,,,,,,
TUN,,,,,,,,,,,,,,,48.9
TUR,,42.3,43.9,44.4,42.9,43.8,45.1,45.2,46.4,45.2,43.7,42.4,42.4,46.1,
UGA,,33.4,24.3,,,,26.8,,,,,,,,
UKR,,,,,,,,,,,,,,,46.9
GBR,,39.5,41.5,41.9,41.5,42.2,37.4,36.9,36.7,37.5,37.4,37.6,36.8,36.7,
USA,,43.4,44.2,43.6,42.9,41.4,40.9,40.4,40.9,41,41,41.2,41,,
URY,,,,,,,,,46.9,49.8,48.4,48.7,45.4,,
UZB,,,,,,,,,53.9,54.2,54.6,57.7,55,59.4,
VEN,,,53.1,,,,,,,,,,,,
ZWE,,,,,,,,,,,,,41.4,33,31.8
ACE,,,43.9286,,44.0548,,42.4581,41.5867,,43.0031,41.4083,41.4152,43.2,42.5258,
HIA,,42.0687,42.1688,41.6267,40.8618,41.6194,38.8303,39.8848,42.1406,41.7811,40.45,40.6,42.9946,,
AME,,,,,52.2375,,,46.5167,,47.9308,42.45,41.7,43.3727,,
ASA,,42.7,44.2,43.6,42.45,41.4,40.9,40.4,40.9,41,41,41.2,41,,
ECM,,,42.5,,42.6,,41.9,41.4,,40.5,41.7,41.9,42.8,42.5,
HIM,,42.9,42.5,41.4,40.7,41.2,40,39.9,40.4,39.7,39.2,38.6,41.1,,
LCM,,,,,45.8,,,42.8,,49.8,40.8,38.9,45.4,,
NAN,,42,44.2,43.6,42,41.4,40.9,40.4,40.9,41,41,41.2,41,,
ECE,,,25.2686,,25.523,,25.3185,26.8623,,25.9018,30.5306,26.2546,25.5143,28.1358,
HWW,,31.2212,30.6461,27.2949,31.1488,30.67,29.3182,30.7188,28.9478,29.6117,32.487,29.7719,27.0949,,
LCE,,,,,30.3548,,,27.1957,,33.7929,30.1556,29.3495,25.0675,,
NAE,,43.2624,39.8633,39.3255,42.8118,37.3371,36.8833,36.4274,36.8768,36.9641,36.9548,37.1219,36.9261,,
# Series: GRSCFETL,,,,,,,,,,,,,,,
"# Name: Share of science graduates at tertiary level, female",,,,,,,,,,,,,,,
# Definition: Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,
