ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
VUT,72.44,,,39.87,,,,63.47,,68.58,,,,70.38,,,,63.22,
VEN,,,,52.65,,56.55,,,,,25.26,,,,,66.42,,,
VNM,,,99.59,,,,,98.85,,,,,99.64,,,,99.51,,
YEM,,,60.71,,,,,,74.98,,,,,,,,,,
ZMB,,78.49,,,,,68.55,,,,,70.74,,,,,53.65,,
ZWE,30.81,,,,,48.33,,,,,47.66,,,40.81,,,,,
AME,,,,69.1709,,,,,,,,60.9408,,,,,,,
LMA,,,,,63.9171,,,,,70.3456,,,,,,,,,
ASA,,65.97,,51.55,,62.47,,45.31,,64.83,,56.23,,61.94,,41.59,,67.95,
ASE,,66.77,,61.97,67.7267,,,,,67.015,,,,,68.52,,,,
LCM,,,,69.99,,,,,,,,58.9,,,,,,,
LMM,,,,,59.99,,,,,75.96,,,,,,,,,
NAN,,65.97,,51.55,,61.18,,45.31,,60.91,,47.52,,59.52,,41.59,,67.95,
SAM,,57.94,,61.97,65.79,,,,,58.07,,,,,58.17,,,,
LCE,,,,43.6355,,,,,,,,51.8377,,,,,,,
LMW,,,,,43.3206,,,,,41.1524,,,,,,,,,
NAE,,59.4418,,46.4722,,63.5069,,40.8677,,67.98,,49.2336,,63.8825,,37.4575,,61.1556,
SAE,,50.895,,46.3815,46.004,,,,,44.364,,,,,43.4528,,,,
# Series: PARVTOUT,,,,,,,,,,,,,,,,,,,
"# Name: Voter turnout, Parliamentary",,,,,,,,,,,,,,,,,,,
# Definition: Registered voter turnout for parliamentary elections,,,,,,,,,,,,,,,,,,,
# Source: International Institute for Democracy and Electoral Assistance (IDEA),,,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,,
