ROU,,,,,,63.8,,,,,70.3,,,,,,,,
RUS,,63.4,65.3,,,,,,,,83.8,,,79.5,,,,,
RWA,,,13.7,,,,13.2,,,,,17.4,,,36.4,,51.6,,
KNA,,,,,,,,,,,,,54,,54,,,,
LCA,,,,,47,,,,,,,,,,,,,,
VCT,,,,,58,,,,,,,48,48,,,,,,
WSM,,30,42.6,,24.5,,,,,,,,,,,28.7,,,
STP,,,,,,,29.3,,,,,,30.7,,,38.4,,,
SAU,,,31.8,,,20.8,,,,,,,,23.8,,,,,
SEN,,,,12.9,,10.5,,,,,,11.8,,,,,,13.1,
SRB,,,,,,,58.7,,,,,,41.2,,,,60.8,,
SLE,,,,,,,4.3,,,,,5.3,,,8.2,,11,,
SGP,,,,62,,,,,,,,,,,,,,,
SVK,,,,79.8,,,,,,,,,,,,,,,
SVN,,78.9,,,,,,,,,,,,,,,,,
SLB,,,11,,,,,6.8,,,,,,34.6,,,,,
SOM,,,,,,7.9,,,,,,,14.6,,,,,,
ZAF,57,,,,56.3,,,,,59.9,59.9,,,,,,,,
SSD,,,,,,,,,,,,,,,,,4,,
ESP,,81.1,,,,71.7,,,,,,,65.7,,,,,,
LKA,,,,,,,70,,,,,,,68.4,,,,,
SDN,8.7,,,,,7,,,,,,,7.6,,,,9,,
SUR,,,,,,,42.1,,,,,,45.6,,,,47.6,,
SWZ,,,,,,,27.7,,40.1,,,,,50.6,,,65.2,,
SWE,,,75.2,,,,,,,,,,,,,,,,
CHE,,82,,,,,,,,,,,,,,,,,
SYR,,,,,,,45.3,46.6,,,,,58.3,,,53.9,,,
TJK,,,,,,,33.9,,,25.3,24.6,37.9,28.5,37.1,,,,,27.9
TZA,,,18.4,,,25.4,,,,,28.2,26.4,,,,,34.4,,
THA,,,75.2,72.2,,,79.2,77.8,,,,73.8,71.5,,,79.6,,,
TLS,,,,26.7,,,,8,,10,,,,19.8,,,22.3,,
TGO,,,,,23.5,,25.7,,,,,,16.8,,,,15.2,,
TON,,,,41,,32.8,33,,23,,,,23.9,,,,31.5,,
TTO,,,,,,,38.2,,,,,,42.5,,,,,,
TUN,,60,,,,,65.5,62.6,,,,,60.2,,,,,,62.5
TUR,,,,,63.9,,,,,71,,,,,73,73,,,
TKM,,,,,,,61.8,,,,,,48,,,,,,
TUV,39,,,,,,,,31.6,,,,,30.5,,,,,
UGA,,14.8,,,,,,22.8,,,,19.7,23.7,,,,,30,
UKR,,,,,,67.5,71.6,,,,,65.6,,66.7,,,,,
ARE,,27.5,,,,,,,,,,,,,,,,,
GBR,,82,,,74,82,76,80,83,84,84,82,82,84,82,84,,,
USA,70.7,76.4,,,,,,,72.8,,,,,,78.6,,,,
URY,,,,84,,,,,,,77,78,,,,,,,
UZB,,,55.6,,,,67.2,,67.7,,,,64.9,,,,,,
VUT,,39,,,,28,,,,,,,,38.4,,,,,
VEN,,,,,70.3,,,,,,,,,,,,,,
VNM,,,,75.3,71.9,,74.2,73.9,78.5,75.3,75.7,76.8,75.7,79,79.5,,,77.8,
YEM,,,,20.8,,,,,,23.1,,,27.7,,,,,,
ZMB,,,25.9,,,22,,,34.2,,,,,40.8,,,,,
ZWE,,,,,,53.5,,,,,,,60.2,,,64.9,,58.5,
WLD,58.4,,,,,,60.1,,,,,,,,,,63.5,,
LIC,23.8,,,,,,32.3,,,,,,,,,,37.6,,
LMC,39.9,,,,,,46,,,,,,,,,,51.1,,
UMC,75.8,,,,,,77.8,,,,,,,,,,83.3,,
EAS,73.6,,,,,,75.1,,,,,,,,,,80.4,,
LCN,58.5,,,,,,,,,,,,,,,,,,
MEA,43.2,,,,,,57.7,,,,,,,,,,61.3,,
NAC,70.7,,,,,,72.9,,,,,,,,,,78.6,,
SAS,41.3,,,,,,45.4,,,,,,,,,,52.3,,
SSF,16,,,,,,22.1,,,,,,,,,,24.3,,
# Series: CONPFEIN,,,,,,,,,,,,,,,,,,,
"# Name: Contraceptive prevalence, female",,,,,,,,,,,,,,,,,,,
"# Definition: Contraceptive prevalence is the percentage of women married or in-union aged 15 to 49 who are currently using, or whose sexual partner is using, at least one method of contraception, regardless of the method used.",,,,,,,,,,,,,,,,,,,
# Source: World Bank,,,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,,
